% DH,% SS,% WS,id,lat,lon,thickness
0,0,1,T1SP14,69.1997719999999,-105.151482,11
0.833333333333333,0,0.166666666666667,T1SP16,69.212045,-105.116977,18
0.5,0,0.5,T1SP18,69.22914,-105.080663,24
0.421052631578947,0,0.578947368421053,T1SP20,69.2439679999999,-105.054171999999,19
0.208333333333333,0,0.791666666666667,T1SP22,69.259022,-105.02712,48
0.409090909090909,0,0.590909090909091,T1SP24,69.2752839999999,-105.000905,22
0.483870967741936,0,0.516129032258065,T2SP10,69.160987,-104.786216999999,31
0.722222222222222,0,0.277777777777778,T2SP11,69.1693929999999,-104.792492999999,18
0.323529411764706,0,0.676470588235294,T2SP12,69.179674,-104.801124,34
0.350877192982456,0,0.649122807017544,T2SP20,69.242023,-104.882524,57
0.404255319148936,0,0.595744680851064,T2SP22,69.2479359999999,-104.902116,47
0.541666666666667,0,0.458333333333333,T2SP23,69.2550439999999,-104.919771999999,24
0.3,0,0.7,T2SP24,69.2597119999999,-104.94561,10
0.228571428571429,0,0.771428571428571,T2SP25,69.2642299999999,-104.961696,35
0.275862068965517,0,0.724137931034483,T2SP26,69.269839,-104.980891,29
0.645161290322581,0,0.354838709677419,T2SP9,69.1527949999999,-104.779047,31
0.5,0,0.5,T3SP1,69.1980039999999,-104.695898,48
0.236842105263158,0,0.763157894736842,T3SP10,69.176032,-104.499669,38
0.619047619047619,0,0.380952380952381,T3SP11,69.177243,-104.474467,21
0.40625,0,0.59375,T3SP12,69.178775,-104.449744,32
0.583333333333333,0,0.416666666666667,T3SP13,69.179203,-104.422374,24
0.68,0,0.32,T3SP2,69.1938959999999,-104.673764,25
0.461538461538462,0,0.538461538461538,T3SP4,69.1856709999999,-104.628624,13
0.363636363636364,0,0.636363636363636,T3SP6,69.177524,-104.584576,33
0,0,1,T3SP8,69.173319,-104.536413999999,15
0.375,0,0.625,T4SP1,69.199061,-104.670193,8
0.291666666666667,0,0.708333333333333,T4SP10,69.2752299999999,-104.658509,24
0.411764705882353,0,0.588235294117647,T4SP2,69.2077709999999,-104.664452999999,17
0.454545454545455,0,0.545454545454545,T4SP3,69.216705,-104.658700999999,22
0.307692307692308,0,0.692307692307692,T4SP4,69.2227859999999,-104.656582,26
0.333333333333333,0,0.666666666666667,T4SP5,69.2319849999999,-104.648585999999,6
0.230769230769231,0,0.769230769230769,T4SP6,69.239827,-104.646663,26
0.319148936170213,0,0.680851063829787,T4SP7,69.2501489999999,-104.636602,47
0.1,0,0.9,T4SP8,69.2588329999999,-104.629924,20
0.27027027027027,0,0.72972972972973,T4SP9,69.2667059999999,-104.64345,37
