% DH,% SS,% WS,id,lat,lon,thickness
0.6,0,0.4,T1SP14,69.1997719999999,-105.151482,25
0.12,0,0.88,T1SP15,69.20587,-105.13396,100
0.740740740740741,0,0.259259259259259,T1SP16,69.212045,-105.116977,27
0.933333333333333,0,0.066666666666667,T1SP17,69.2181649999999,-105.097534999999,15
0.416666666666667,0,0.583333333333333,T1SP18,69.22914,-105.080663,36
0.294117647058824,0,0.705882352941176,T1SP19,69.236272,-105.066342,34
0.314285714285714,0,0.685714285714286,T1SP20,69.2439679999999,-105.054171999999,35
0.323529411764706,0,0.676470588235294,T1SP21,69.251958,-105.0416,34
0.228070175438596,0,0.771929824561403,T1SP22,69.259022,-105.02712,57
0.466666666666667,0,0.533333333333333,T1SP23,69.2673713,-105.0140802,30
0.333333333333333,0,0.666666666666667,T2SP10,69.160987,-104.786216999999,30
0.631578947368421,0,0.368421052631579,T2SP11,69.1693929999999,-104.792492999999,38
0.34375,0,0.65625,T2SP12,69.179674,-104.801124,32
0.412698412698413,0,0.587301587301587,T2SP18,69.23103,-104.843076,63
0.229508196721311,0,0.770491803278688,T2SP19,69.23636,-104.863089,61
0.333333333333333,0,0.666666666666667,T2SP20,69.242023,-104.882524,102
0.226666666666667,0,0.773333333333333,T2SP22,69.2479359999999,-104.902116,75
0.372549019607843,0,0.627450980392157,T2SP23,69.2550439999999,-104.919771999999,51
0.318181818181818,0,0.681818181818182,T2SP24,69.2597119999999,-104.94561,44
0.5625,0,0.4375,T2SP25,69.2642299999999,-104.961696,16
0.326923076923077,0,0.673076923076923,T2SP26,69.269839,-104.980891,52
0.523809523809524,0,0.476190476190476,T2SP27,,,42
0.342857142857143,0,0.657142857142857,T2SP5,69.118645,-104.752578,35
0.441176470588235,0,0.558823529411765,T2SP6,69.12729,-104.757538,34
0.314814814814815,0,0.685185185185185,T2SP7,69.1354319999999,-104.764264999999,54
0.225806451612903,0,0.774193548387097,T2SP8,69.147625,-104.7744,31
0.491525423728814,0,0.508474576271186,T2SP9,69.1527949999999,-104.779047,59
0.155172413793103,0,0.844827586206896,T3SP10,69.176032,-104.499669,58
0.238095238095238,0,0.761904761904762,T3SP11,69.177243,-104.474467,21
0.186046511627907,0,0.813953488372093,T3SP12,69.178775,-104.449744,43
0.363636363636364,0,0.636363636363636,T3SP13,69.179203,-104.422374,55
0.5,0,0.5,T3SP6,69.177524,-104.584576,30
0.538461538461538,0,0.423076923076923,T3SP8,69.173319,-104.536413999999,26
0.111111111111111,0,0.888888888888889,T4SP3,69.216705,-104.658700999999,45
0.158730158730159,0,0.841269841269841,T4SP4,69.2227859999999,-104.656582,63
0.238095238095238,0,0.761904761904762,T4SP5,69.2319849999999,-104.648585999999,63
0.16,0,0.84,T5SP1,,,50
0.230769230769231,0,0.769230769230769,T5SP2,,,26
0.161290322580645,0,0.838709677419355,T5SP20,,,62
0.357142857142857,0,0.642857142857143,T5SP21,,,28
0.36734693877551,0,0.63265306122449,T5SP3,,,49
0.265060240963855,0,0.734939759036145,T5SP4,,,83
0.37037037037037,0,0.62962962962963,T6SP1,,,54
0.347826086956522,0,0.652173913043478,T6SP2,,,23
0.24390243902439,0,0.75609756097561,T6SP3,,,41
0.277777777777778,0,0.722222222222222,T6SP4,,,54
0.45,0,0.55,T6SP5,,,40
0.278688524590164,0,0.721311475409836,T6SP6,,,61
0.288461538461538,0,0.711538461538462,T6SP7,,,52
0.319148936170213,0,0.680851063829787,T6SP8,,,47
0,0,1,T6SP9,,,46
