% DH,% SS,% WS,id,lat,lon,thickness,NDVI_mean,Sx_mean
0.259259259259259,0.000000000000000,0.740740740740741,IMA_SP001,69.223240000000004,-104.899640000000005,"54",0.267276748671343,-0.00627561012331326
0.235294117647059,0.000000000000000,0.764705882352941,IMA_SP002,69.218878000000004,-104.893248999999997,"17",-0.537721972275192,0.0128780120371973
0.372093023255814,0.186046511627907,0.418604651162791,IMA_SP008,69.121420000000001,-105.046629999999993,"43",0.0218787684120507,
0.322580645161290,0.451612903225806,0.193548387096774,IMA_SP009,69.221450000000004,-104.882140000000007,"31",0.502767761394307,0.0135653440510913
0.166666666666667,0.541666666666667,0.291666666666667,IMA_SP010,69.222719999999995,-104.884029999999996,"48",0.293230617708531,0.0262086172357652
0.475000000000000,0.000000000000000,0.400000000000000,IMA_SP011,69.223020000000005,-104.883420000000001,"40",0.219904052452738,0.00312349042869349
0.327272727272727,0.109090909090909,0.563636363636364,IMA_SP012_EXC,69.223159999999993,-104.883539999999996,"55",0.244153911430908,-0.0478347048110442
0.604166666666667,0.000000000000000,0.375000000000000,IMA_SP019,69.221230000000006,-104.886099999999999,"24",0.384379145992865,0.0471042932019436
0.348837209302326,0.000000000000000,0.651162790697674,IMA_SP020,69.221990000000005,-104.884349999999998,"43",0.398335579283531,-0.00701373026920563
0.289156626506024,0.000000000000000,0.710843373493976,IMA_SP021,69.223129999999998,-104.886709999999994,"83",0.308120534489841,0.0274088326725551
0.466666666666667,0.000000000000000,0.533333333333333,IMA_SP022,69.222219999999993,-104.901409999999998,"30",0.339617440028977,0.00800321292060235
0.378787878787879,0.000000000000000,0.621212121212121,IMA_SP023,69.222530000000006,-104.900630000000007,"66",0.283636371020893,0.019656160672164
0.545454545454545,0.000000000000000,0.454545454545455,IMA_SP024,69.223759999999999,-104.896529999999998,"22",0.243078347669624,0.0452013135204214
0.545454545454545,0.000000000000000,0.454545454545455,IMA_SP025,69.224100000000007,-104.898989999999998,"22",0.224318422362232,0.0166765236564796
0.382978723404255,0.000000000000000,0.617021276595745,IMA_SP026,69.223650000000006,-104.900689999999997,"47",0.296817814991588,0.00635518545025301
0.428571428571429,0.000000000000000,0.571428571428571,IMA_SP027,69.223600000000005,-104.902050000000003,"42",0.328634874213695,-0.00686966848175857
0.354838709677419,0.000000000000000,0.645161290322581,IMA_SP028,69.219480000000004,-104.907960000000003,"31",0.507645701381405,0.025676086564989
0.193548387096774,0.000000000000000,0.774193548387097,IMA_SP028_multiangle,69.219629999999995,-104.908180000000002,"31",0.42599278235859,0.0335010520589932
0.416666666666667,0.000000000000000,0.583333333333333,IMA_SP029,69.219499999999996,-104.908140000000003,"24",0.492787104298778,0.0236257843673522
0.500000000000000,0.000000000000000,0.500000000000000,IMA_SP030,69.219999999999999,-104.907839999999993,"24",0.35824319653212,0.0451163209215236
0.350000000000000,0.000000000000000,0.650000000000000,IMA_SP031,69.221530000000001,-104.910390000000007,"20",0.28856165134672,0.015482904485945
0.423076923076923,0.000000000000000,0.576923076923077,IMA_SP032,69.221469999999997,-104.910250000000005,"78",0.284120410181839,0.0190925639239514
0.400000000000000,0.000000000000000,0.600000000000000,IMA_SP033,69.221789999999999,-104.908050000000003,"40",0.32628974923815,0.0305327381825483
0.542857142857143,0.000000000000000,0.428571428571429,IMA_SP033_multiangle,69.221789999999999,-104.908050000000003,"35",0.32628974923815,0.0305327381825483
0.180952380952381,0.000000000000000,0.819047619047619,IMA_SP034,69.219059999999999,-104.913480000000007,"105",0.514541765487828,0.0723529129013289
0.406779661016949,0.000000000000000,0.593220338983051,IMA_SP035,69.210449999999994,-104.913309999999996,"59",-0.25460501406577,0.0112899024958669
0.333333333333333,0.000000000000000,0.666666666666667,IMA_SP036,69.219679999999997,-104.913880000000006,"24",0.307901836018799,0.0303646193402277
0.387755102040816,0.000000000000000,0.591836734693878,IMA_SP037,69.220089999999999,-104.914310000000000,"49",0.339077448663929,-0.00853150732794189
0.380952380952381,0.000000000000000,0.619047619047619,IMA_SP038,69.220410000000001,-104.915030000000002,"21",0.310680988715659,-0.0123094631147862
0.323529411764706,0.000000000000000,0.647058823529412,IMA_SP039,69.221040000000002,-104.915300000000002,"34",0.289038513293468,0.0163744014673261
0.148148148148148,0.037037037037037,0.814814814814815,IMA_SP040,69.221109999999996,-104.916150000000002,"27",0.287319948740921,-0.0124601445343873
0.333333333333333,0.041666666666667,0.625000000000000,IMA_SP041,69.221469999999997,-104.917249999999996,"48",0.34332611435416,-0.00147457516529337
0.420000000000000,0.020000000000000,0.560000000000000,IMA_SP042,69.221580000000003,-104.914490000000001,"50",0.342442850998115,0.0109546976350859
0.464285714285714,0.035714285714286,0.500000000000000,IMA_SP043,69.222210000000004,-104.913240000000002,"28",0.293563565020057,0.00961666342780395
0.500000000000000,0.166666666666667,0.333333333333333,IMA_SP044,69.221580000000003,-104.914490000000001,"12",0.342442850998115,0.0109546976350859
0.333333333333333,0.238095238095238,0.428571428571429,IMA_SP045,69.222070000000002,-104.914370000000005,"21",0.300346937935497,0.00116701208542912
0.271739130434783,0.032608695652174,0.695652173913043,IMA_SP046,69.225589999999997,-104.924750000000003,"92",0.262083314946536,0.0401765468890642
0.583333333333333,0.166666666666667,0.208333333333333,IMA_SP047,69.225430000000003,-104.926879999999997,"24",0.201447717149582,0.0224568441476144
0.340909090909091,0.000000000000000,0.636363636363636,IMA_SP048,69.223529999999997,-104.927400000000006,"44",0.211411283583716,0.0337057314017337
